date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:12	171/171	---MCZ	200	added ('OK')	text/plain	etag:W/%226333b67a-105%22	http://deothemes.com/robots.txt		(from )
23:09:12	112346/112346	---M-Z	200	added ('OK')	text/html	etag:%221b6da-5cd44539e2776-gzip%22	http://deothemes.com/envato/deus/html/?	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/indexd41d.html	(from )
23:09:13	64093/64093	---MCZ	200	added ('OK')	text/css	etag:W/%226043762c-fa5d%22	http://deothemes.com/envato/deus/html/css/bootstrap.min.css	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/css/bootstrap.min.css	(from http://deothemes.com/envato/deus/html/?)
23:09:13	4800/4800	---MCZ	200	added ('OK')	text/css	etag:W/%226043762c-12c0%22	http://deothemes.com/envato/deus/html/css/font-icons.css	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/css/font-icons.css	(from http://deothemes.com/envato/deus/html/?)
23:09:14	116767/116767	---MCZ	200	added ('OK')	text/css	etag:W/%226043762c-1c81f%22	http://deothemes.com/envato/deus/html/css/style.css	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/css/style.css	(from http://deothemes.com/envato/deus/html/?)
23:09:14	894/894	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22604375f4-37e%22	http://deothemes.com/envato/deus/html/img/favicon.ico	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/img/favicon.ico	(from http://deothemes.com/envato/deus/html/?)
23:09:15	25164/25164	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jul%202023%2017:39:16%20GMT	http://deothemes.com/envato/deus/html/img/apple-touch-icon.png	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/img/apple-touch-icon.png	(from http://deothemes.com/envato/deus/html/?)
23:09:15	2170/2170	---M--	200	added ('OK')	image/png	etag:%22604375f4-87a%22	http://deothemes.com/envato/deus/html/img/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/img/apple-touch-icon-72x72.png	(from http://deothemes.com/envato/deus/html/?)
23:09:15	3251/3251	---M--	200	added ('OK')	image/png	etag:%22604375f4-cb3%22	http://deothemes.com/envato/deus/html/img/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/img/apple-touch-icon-114x114.png	(from http://deothemes.com/envato/deus/html/?)
23:09:16	6659/6659	---MCZ	200	added ('OK')	application/javascript	etag:W/%226043762c-1a03%22	http://deothemes.com/envato/deus/html/js/lazysizes.min.js	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/js/lazysizes.min.js	(from http://deothemes.com/envato/deus/html/?)
23:09:16	112346/112346	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c3-1b6da%22	http://deothemes.com/envato/deus/html/index.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/index.html	(from http://deothemes.com/envato/deus/html/?)
23:09:16	67229/67229	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c5-1069d%22	http://deothemes.com/envato/deus/html/index-politics.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/index-politics.html	(from http://deothemes.com/envato/deus/html/?)
23:09:17	44883/44883	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c4-af53%22	http://deothemes.com/envato/deus/html/index-fashion.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/index-fashion.html	(from http://deothemes.com/envato/deus/html/?)
23:09:17	65373/65373	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c4-ff5d%22	http://deothemes.com/envato/deus/html/index-games.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/index-games.html	(from http://deothemes.com/envato/deus/html/?)
23:09:17	50086/50086	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c5-c3a6%22	http://deothemes.com/envato/deus/html/index-videos.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/index-videos.html	(from http://deothemes.com/envato/deus/html/?)
23:09:18	51816/51816	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c5-ca68%22	http://deothemes.com/envato/deus/html/index-music.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/index-music.html	(from http://deothemes.com/envato/deus/html/?)
23:09:18	25968/25968	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c2-6570%22	http://deothemes.com/envato/deus/html/about.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/about.html	(from http://deothemes.com/envato/deus/html/?)
23:09:19	26911/26911	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c3-691f%22	http://deothemes.com/envato/deus/html/contact.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/contact.html	(from http://deothemes.com/envato/deus/html/?)
23:09:19	40256/40256	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4bf-9d40%22	http://deothemes.com/envato/deus/html/search-results.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/search-results.html	(from http://deothemes.com/envato/deus/html/?)
23:09:19	38685/38685	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c3-971d%22	http://deothemes.com/envato/deus/html/categories.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/categories.html	(from http://deothemes.com/envato/deus/html/?)
23:09:19	24099/24099	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c2-5e23%22	http://deothemes.com/envato/deus/html/404.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/404.html	(from http://deothemes.com/envato/deus/html/?)
23:09:20	52990/52990	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4bf-cefe%22	http://deothemes.com/envato/deus/html/single-post.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/single-post.html	(from http://deothemes.com/envato/deus/html/?)
23:09:20	49621/49621	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c1-c1d5%22	http://deothemes.com/envato/deus/html/single-post-politics.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/single-post-politics.html	(from http://deothemes.com/envato/deus/html/?)
23:09:21	48039/48039	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c0-bba7%22	http://deothemes.com/envato/deus/html/single-post-fashion.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/single-post-fashion.html	(from http://deothemes.com/envato/deus/html/?)
23:09:21	54464/54464	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c0-d4c0%22	http://deothemes.com/envato/deus/html/single-post-games.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/single-post-games.html	(from http://deothemes.com/envato/deus/html/?)
23:09:22	41802/41802	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c1-a34a%22	http://deothemes.com/envato/deus/html/single-post-videos.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/single-post-videos.html	(from http://deothemes.com/envato/deus/html/?)
23:09:22	45201/45201	---MCZ	200	added ('OK')	text/html	etag:W/%226156a4c1-b091%22	http://deothemes.com/envato/deus/html/single-post-music.html	C:/My%20Web%20Sites/blogger/deothemes.com/envato/deus/html/single-post-music.html	(from http://deothemes.com/envato/deus/html/?)
